,label,sentiment
41,2,sách nội_dung rất hay cuốn_hút ngay từ những trang đầu_tiên giúp mình thay_đổi cách nhìn của mình về các vấn_đề đã và đang phải đối_mặt rất đáng để sưu_tập
42,1,màu đẹp như hình bình khá lớn nhưng giữ lạnh không được lâu lắm
43,2,quạt chạy khá êm mình dùng quạt cho laptop thấy khá hiệu_quả hi_vọng sản_phẩm sẽ bền cảm_ơn cửa_hàng và team tiki
44,1,sản_phẩm đẹp hàng gữi đẹp dùng được tàm_tạm
45,1,bỉm hơi cứng so với mình mua ở bên
46,2,đóng_gói cẩn_thận hộp có bị hư_hại do vận_chuyển nhưng sách thì không
47,2,sản_phẩm dùng ổn giao hàng nhanh_chóng
48,2,sản_phẩm đúng mô_tả hạn sử_dụng còn xa và còn được tặng kèm sữa rửa mặt tiếc là tặng mẹ rồi nên không chụp hình được săn giảm_giá được giá hời mình sẽ tiếp_tục ủng_hộ
49,1,bìa đẹp nhìn cũng ô_kê nhưng nội_dung hơi nhẹ_nhàng ai thích gây cấn hồi_hộp muốn ăn mặn thì nên đọc truyện khác ai muốn nhẹ_nhàng thì cũng có_thể thử truyện
50,1,không đàm_thoại được nên hơi bất_tiện
51,0,không kín bị chảy hết ra
52,1,bảng viết mạnh_tay một_chút là là bôi không sạch để lại nhiều dấu_vết nhìn khó_chịu
53,2,quá ô_kê luôn sản_phẩm đủ chắc sẽ ủng_hộ dài_dài chỉ mong mỗi lần đặt tiki nhớ kiểm hàng trước là được
54,1,màu_sắc không được đẹp như các mẫu trên ảnh đường chỉ may không được mượt lắm
55,2,kiểu_dáng ổn sử_dụng cũng tiện nhưng âm_thanh không hay lắm và mau hết pin
56,2,mua gói trên tiki tiết_kiệm nhiều so với cửa_hàng tạp_hoá mà_lại còn có thêm quà tặng
57,1,pin dùng được song tìm trên vĩ về năm sản_xuất chưa tìm ra bên nhập_khẩu phải chỉ rõ để dễ kiểm_tra
58,0,sau khi mở sản_phẩm tôi cắm xạc nhưng đồng_hồ không khởi đồng bấm các kiểm nút cũng không thấy gì rất mong tiki
59,0,sản_phẩm rất tệ không dùng đươc
60,2,mình thấy rất hài_lòng về sản_phẩm
61,1,vải quần mỏng quá không hài_lòng lắm
62,1,cảm_giác không nhám như giấy lắm
63,2,bông dai mịn đúng như các bạn đã mua trước đó đánh_giá giao hàng cực_kỳ
64,1,không vừa nhưng dùng vẫn nên cũng tạm ổn mở ra mà không giữ là đóng
65,0,lỗ cấm khi rút ra rất gắt cố rút thì bung hộp cắm
66,1,hộp đựng sách quá to làm sách bị méo góc cảm_giác quyển sách của mình bị mềm ra
67,1,giao hàng đúng hẹn sản_phẩm nguyên bao_bì nhưng nắp lắp pin không khít gây tiếng_động mỗi khi rê
68,1,nếu bán gói thêm đế nữa thì sẽ ô_kê
69,1,mùi kem đánh răng hơi lạ kết_quả thì cũg bình_thường
70,2,sách có bọc plastic bảo_vệ
71,0,treo đầu dê bán thịt chó hình với hàng khác nhau một_trời_một_vực
72,0,tại_sao tôi mua về cắm vao máy_tính lại không nhận vậy pin đi kèm không
73,1,tạm được chưa đủ thời_gian dùng để đánh_giá chất_lượng
74,2,hấp_dẫn giấy đẹp dễ nhìn hay có những bài_tập đúng trình_độ tuyệt_vời nếu thêm màu_sắc nữa thì có_lẽ sẽ hay
75,1,nội_dung thì mình chưa đọc chưa rõ nhưng_mà bìa sách hơi cũ và dơ lần này tiki không tặng bao sách
76,0,hộp không thích gì nổi
77,0,mình chạy ngoài đường là bị nhiễu giật giật liên_tục không nghe được nhạc bên công_ty mình cũng bị nhiễu y_chang về đến nhà thì ít giật hơn hẳn đây có phải là lỗi
78,0,nút nguồn bấm mãi mới được tin_tưởng tiki trading nên mới mua mà chất_lượng chán quá còn nguyên hộp pk trong túi có bảo_hành hay đổi được
79,2,hài_lòng với sản_phẩm của thiên hoà và cũng hài_lòng về thời_gian giao hàng của tiki
80,2,đang dùng khá ô_kê mùi cũng thơm nhưng chưa biết hiệu_quả như nào đợi thêm thời_gian xem
81,1,không dễ đọc vì tác_giả đưa nhiều từ và nội_dung mang tính học_thuật vào đọc ít thấy thích nhưng càng đọc càng mệt
82,1,lỗi nhẹ phần dây deo giá nay vây là ô_kê
83,1,mình order màu đen nhưng cửa_hàng lại gửi màu xanh thẫm
84,0,quá mỏng_manh dễ bị rách
85,0,vải quá mỏng áo nhỏ không đáng tiền
86,2,sản_phẩm dưỡng ẩm tốt nhưng vài lần đầu sử_dụng thì mùi không dễ_chịu cho lắm mọi người vẫn nên trải_nghiệm thử nha
87,2,giao hàng nhanh bao bọc kĩ sau tuần sử dụng thấy bếp sài tốt nấu rất nhanh được tặng nồi nữa khá thích nhiều chế độ nấu thiết kế mặt kính sang trọng
88,2,loại này mình đã sử_dụng trước đó sản_phẩm này đúng mô_tả không có gì để phàn_nàn
89,1,sản_phẩm này dùng tương_đối ổn thôi khi lăn bánh_xe trên chuột các dữ_liệu trên màn_hình trượt quá nhanh và vượt qua cả trang không dừng được ở chỗ cần dừng
90,2,giao hàng nhanh sách đẹp đóng_gói khá cẩn_thận sách còn bọc nên rất ổn
91,0,không giống mẫu mình đặt hang
92,2,rất hay tiki giao hàng nhanh đúng hạn
93,2,giao hàng nhanh thơm hơi loãng xíu nhưng rửa sạch_sẽ tiếp_tục ủng_hộ tiki
94,1,hàng tốt nhưng giao hàng chậm thái_độ giao hàng của nhân_viên không tôn_trọng khách_hàng
95,0,nhận hàng gương bị bể xin cho em hỏi cách đổi trả hàng
96,0,rung ồn không có từng mức rung
97,2,sản_phẩm hạn sử_dụng mới tiki giao hàng đóng_gói cẩn_thận nên bao_bì vẫn đẹp có_thể biếu tặng
98,2,mình nghe nhiều trên youtube nhưng lần này vẫn quyết_định mua sách về đọc để khắc sâu vào não cuốn sách rất
99,0,tiki giao hàng cho mình không đúng theo yêu_cầu mình đặt rất không hài_lòng
100,1,máy_hút_bụi giá tốt dùng ô_kê nhưng tay cầm để gắn vào máy không có chốt gắn vào được tiki xem đổi lại giúp mình tay cầm
101,0,tôi biết sản_phẩm của tiki rất tốt nhưng riêng khâu giao hàng thì tôi đáng_giá khá tệ với việc khiến hàng_hoá như thế_này dù giao rất
102,1,thơm nhưng tắm cho bé cảm_giác khô da
103,1,chiếu tương_đối không dầy lắm chắc không lỗi nhưng khi nhận hàng thì bao chiếu rách_bươm
104,0,đường chỉ may sơ_sài chất_lượng vải tạm được chưa hài_lòng cho máy
105,0,phí giao hàng cao tiền hàng bằng tiền giao hàng
106,0,em mua hộp màu_nước mà hộp màu của em lại bị thiếu em đã liên_hệ page của tiki nhưng không được ai trả_lời hotline thì không ai
107,2,sổ đẹp dày_dặn chất_lượng giấy cũng tốt nữa rất thích_hợp với người lười trang_trí như mình tuy_nhiên cách sắp_xếp mình không thích lắm
108,2,sản_phẩm này rất ô_kê chất kem lỏng nên bôi nhanh và đều lại nâng tông đa nhìn rất tự nhiên có điều hơi hao
109,0,cửa_hàng ơi sao hàng của em vừa về mở ra dùng thấy có_vẻ trầy_xước sẵn hơi bẩn và ở hai đầu của hai tai nghe lại khac nhau vậy đây là hàng cũ không phải hàng mới
110,1,ưu_điểm là giá rẻ bông mềm tuy_nhiên dễ bị xơ khi lau bông dính lên mặt
111,2,sách đẹp tốt nội_dung hay đáng để tìm_kiếm để đọc
112,0,sản phảm không đúng với mô_tả
113,2,mẫu_mã đẹp giao hàng
114,1,thấy độ nhớt có_vẻ chưa đạt có_vẻ không đúng chính hãng vì mình còn chai cũ xài ô_kê
115,0,nhận được hàng đèn báo nóng lạnh đều không sáng nước không nóng và lạnh rất mong tiki giải_quyết
116,0,màu đậm hơn hình hôi mùi chất hoá_học kinh_khủng
117,0,dán vào đi bị trượt chân_không thuận_tiện
118,2,giao hàng nhanh sản phẩm rất tốt thuận_tiện đi đã ngoại
119,0,bìa sách cũ và bẩn_mình không hài_lòng chút
120,0,nhựa giòn gãy mất ùi tiếc
121,2,máy ép dùng tốt không ồn máy ép bã khô luôn dễ vệ_sinh
122,2,xả vải quần áo thơm đóng gói kỷ nhân viên giao hàng dễ_thương
123,0,không hài lòng mới vừa khui thùng ra đã bị trầy xướt quá nhiều đề nghị đổi hàng giúp
124,0,chất_liệu và thiết_kế khong đẹp như mẫu giới_thiệu
125,0,chất lượng hàng không đẹp như trên hình tôi không hài lòng với sản phẩm
126,1,kích_thước l rất nhỏ mặc rất bó
127,1,sản_phẩm không hiệu_quả nhiều mẫu_mã hơi
128,1,chưa dùng lâu nên không biết có trắng
129,0,có dv lắp_đặt nhưng không có nhân_viên liên_hệ
130,2,sản_phẩm làm sạch sâu cực_kì sau khi dùng sờ vào da rất thích
131,0,không đồng_ý tấm hình phía trong bị dính như_vậy yêu_cầu đổi hàng
132,1,ăn không quen lạt nên hơi khó
133,1,hạn sử_dụng ngắn hơn lần trước độ giòn cũng không bằng lần trước hơi thất_vọng
134,0,hộp cơm bị móp đề_nghị tiki đổi hộp
135,0,sản_phẩm mới nhận được cấm điện không thấy quạt quay mở ra mới thấy gãy cánh và chốt gì ngay đó vui_lòng kiểm_tra giúp
136,2,ô_kê tuyệt_vời nhưng không để vừa chứng_minh chỉ để vừa thẻ atm
137,0,quá nhanh hư khoá da tốt nhưng sản_phẩm không bền
138,2,chưa xài nhưng nhìn ô_kê vận_chuyển
139,2,sách đẹp chưa đọc vì mới mua nhưng có người đọc rồi bảo hay nên mình đã mua giao hàng nhanh đóng_gói cẩn_thận tuyệt_vời
140,0,khăn đợt này mỏng và cứng hơn đợt trước mình mua rất nhiều thất_vọng với sản_phẩm
141,0,ai trả lời hộ tôi không kiểm_tra được mã code của sản_phẩm không
142,0,vỏ gối không sử_dụng
143,1,tôi chỉ mua để xài tạm nên thôi nên những kiểu trầy nứt loại này không để_tâm
144,1,mua màu hồng giao màu xanh
145,2,bình tốt nên mua mọi người
146,0,giao hàng gần hết hạn kém chất_lượng quá tiki ơi đơn_vị vận_chuyển ninja van thì chậm chạm
147,0,sách bị gập nếp hơi thất_vọng về chất_lượng mua sách mới mà như_thể sách ngoài chợ cũ
148,1,dạ sao em không nhận được dây sạc ạ sản_phẩm
149,1,độ_chính_xác còn chưa
150,1,que không đúng như hình quảng_cáo nhưng vẫn sử_dụng được cảm_thấy hài_lòng lắm
151,1,dây sạc hay tự ngắt khi chưa sạc xong đầu sạc bị lỏng được mỗi_cái sạc
152,1,quần bt chỉ khâu lỗi tùm_lum
153,2,đóng_gói kĩ giao hàng
154,2,giao nhanh hàng đẹp sách
155,1,bánh quá ngọt so với loại
156,1,không vừa với với nhà mình nên đành đổi
157,1,chất_lượng sản_phẩm đúng với giá tiền nên không đòi_hỏi là phải tốt hơn ở store mie điểm cộng cho tiki là giao hàng nhanh và đóng_gói cẩn_thận
158,2,đóng_gói cẩn_thận màu lành_lặn hộp màu rất đẹp dù em chưa kiểm_tra thử
159,0,mới mang về nhà mà xài không được cái nhóc nhỏ không treo được vô_thanh sắt ban_công giờ không biết làm gì với
160,1,dễ_thương nhưng không có lớp dính như mô_tả phải tự lấy băng_dính hai mặt ra thiết_kế lớp dính
161,0,chiếc bị mất thanh chắn nhỏ khiển khung và giỏ treo bị nghiêng
162,1,âm_thanh ổn trong tầm giá cơ_mà nút điều_khiển không dùng được thoi thì dùng tạm
163,2,sách hay đang để mua cho co bé nhà mình rất
164,2,sản phầm chất_lượng đóng_gói
165,0,không sử_dụng được mua về vức
166,0,có túi bị hở hut không được mấy công
167,0,đóng_gói ẩu bị chảy sữa tắm ra
168,0,chất_liệu và kỹ_thuật chưa đáp_ứng ưu_điểm là giá rẻ
169,1,kích_thước nhỏ hơi chặc
170,2,chảo đẹp chất_lượng tốt bán rẻ hơn nhiều so với các cửa_hàng khác rất hài_lòng
171,2,áo mỏng vải đẹp giá_cả cũng hợp_lý áo năm nay form hơi rộng hơn năm_ngoái thế lại thành hay vì mình mới tăng cân riêng form này cực rộng luôn
172,0,đừng nên mua bị hư đã liên_hệ tiki đổi cai
173,2,chảo nhỏ xinh bắt từ tốt dày_dặn chống dính
174,1,hơi bất_ngờ phần bìa sách là loại giấy bao bên ngoài chứ không phải là bìa liền nhưng không thấy phần thông_tin sản_phẩm đề_cập góp_ý với team nếu là bìa liền thì sẽ thấy cuốn sách giá_trị
175,2,rất hài_lòng hàng may sắc_sảo và tỉ_mỉ cảm_ơn cửa_hàng
176,1,mình đặt màu đen nhưng lại được giao màu_da bò nhưng không cần đổi tiki nha thủ_tục quá phức_tạp với
177,2,sữa ngon giao hàng
178,1,tiền nào của đấy nên cũng khách_hàng mong_đợi gì
179,2,mẫu đèn rất đẹp cảm_ứng nhạy đèn sáng và có nhiều chế_độ ánh_sáng rất thích_hợp cho việc học tiki giao hàng rất
180,2,giao hàng nhanh đúng chất_lượng rất đáng đồng_tiền đã pha thử chất_lượng ra cà_phê ngon lưu_ý giảm số_lượng nước so với hướng_dẫn của hãng sẽ ra cà_phê đậm_đà
181,2,thảm màu hồng êm và mềm khi tập giá tốt mọi người yên_tâm mua
182,0,hàng_không cân_xứng giá tiền quá mắc
183,0,giống với hình mặt bàn bị lỗi chân bàn khác màu có bị nứt ra dùng tạm
184,1,phần chống dính của nắp không ổn dễ bong xước tổng_thể sản_phẩm chắc_chắn nặng_tay
185,0,quyển này không hay lắm
186,1,không được sạch_sẽ lắm nếu sạch hoàn_toàn thì rất tuyệt
187,0,chưa nhận được hàng gửi nhầm người luôn mới ghê
188,2,hàng chính hãng mùi thơm giá ô_kê tiki thật_sự uy tính trên từng sản_phẩm
189,0,không sử_dụng được do quá nhỏ và không mở ra
190,1,giao hàng rất nhanh mà bị lỗi không lên sáng nhé tiki
191,1,sách giao nhanh nhưng chất_lượng giấy không được tốt khó bảo_quản lâu_dài
192,1,bị lem màu nha mọi
193,2,mới sử_dụng hôm_qua đến giờ thôi_thì thấy ô_kê chuột nhẹ click êm vừa tay mình nữ trước giờ toàn xài logitech nên cũng tin_tưởng thương_hiệu hi_vọng xài được bền như con chuột logitech
194,1,mới sử_dụng không biết chất_lượng
195,0,dây nhanh đứt
196,0,nói là giao hàng mà phải đi xa quá ca để nhận xe
197,2,sách hay và được đóng_gói cẩn_thận
198,2,mọi người nên mua để đọc rất hay ngài thần_tượng của
199,0,mua về chưa xài đã phát_hiện bị rỉ
200,1,tiki giao đủ số_lượng sách mới ra mà bẩn với nát hết gáy chán quá truyện hay bạn mình bảo vậy chứ mình không đọc mua hộ
201,0,sản_phẩm không có mã_vạch_viên không có chữ dhc uống gần nửa gói có cảm_giác mệt_mỏi hay buồn_ngủ
202,0,giao thiếu_phụ kiện không túi không thẻ nhớ không bọc da chỉ được mỗi sợi dây
203,2,hơi mỏng và hơi dễ xờn
204,2,đọc rất hay có kèm cả quà
205,1,sách nội_dung hay nhưng chất_lượng lại không tốt lắm sách hơi cũ và bị nhăn
206,0,mất sóng pin yếu không nên mua
207,1,xạc của mình có hiện_tượng vào điện không ổn_định bị loạn nhẹ cảm_ứng tiki cho hỏi cách bảo_hành thế_nào ạ
208,1,sản_phẩm chấp_nhận được với mức giá
209,2,mình đã biết quyển sách này từ lâu và bây_giờ mới nhận được cảm_ơn tiki đã giao hàng rất nhanh nhân_viên giao hàng rất vui_vẻ và nhiệt_tình
210,2,sản_phẩm tốt mờ sẹo nhanh sẹo
211,2,lần đầu tiki giao hàng rất nhanh nhưng chất lượng sản_phẩm khách_hàng như mong_đợi
212,1,bìa bao cẩn_thận còn nd sách thì ch đọc nên ch bình_thường nhưng chất_lượng giấy khá
213,2,giao hàng nhanh hôm trước hôm sau nhận được luôn giấy hơi vàng nhưng giày dặn và chất_lượng in
214,0,đã mua tại cửa_hàng remato thảm bị lỗi nhiều không sử dụng được yêu cầu trả hang hoàn tiền
215,2,kem chống nắng bỏ_túi tiện_lợi chất kem thẩm_thấu nhanh vào da
216,0,sách bị lem_nhem góc sách bị rách nhìn như sách cũ truyền tay nhiều người rồi
217,0,báo cửa_hàng kiểm_tra trước khi gửi mà gửi sản_phẩm không hoạt động
218,0,đăng hình_ảnh không đúng thực_tế giao hàng hàng có thế_nào nên đăng ảnh đúng như_vậy hàng giao thiếu bộ phụ_kiện lấy ráy tai có giao bù không
219,0,máy bị lỗi chưa thấy ai tới nhận bảo_hành tôi đang cần gấp
220,2,mình đặt bản đặc_biệt nhưng lại giao bản thường nhưng thôi không sao sách rất ô_kê
221,1,sản_phẩm được giao nhanh tuy_nhiên hơi to quá so với nhu_cầu của
222,1,tiki giao hàng nhanh về chất_lượng thì dây rất mỏng hàng_không đẹp
223,0,giao hàng chậm sản_phẩm
224,0,khẩu_trang gì mà hôi quá không đeo
225,2,hàng chất_lượng
226,2,sản_phẩm đẹp chắc gọn_gàng đúng như hình_mẫu bên ngoài còn đẹp
227,1,khuyên nhựa của mình bị gãy trang sách mỏng được cái hình bên trong khá dễ_thương
228,0,chất_lượng giấy quá kém đọc trang trước mà nhìn rõ chữ trang sau
229,1,xe đẹp chắc_chắn nhưng bé cứ đạp được vài vòng là lại bị trật xích làm_sao để khắc_phục được vậy cửa_hàng
230,2,đọc biết thêm nhiều cái hay_ho về bản_thân sách nói về lịch_sử hình_thành hệ_thống này nên đôi_khi dễ chán nhưng cứ nghĩ mình sẽ khám_phá tính_cách con_người là có thêm động_lực để đọc tiếp
231,1,mình khẳng_định mình chuẩn men nếu ai có thấy mình dùng bình nước_màu hường thì đừng vội nghĩ mình bê đê do cửa_hàng gửi màu hường
232,0,sản_phẩm không xài được mình có đổi mà nhân_viên nói không đổi được là sao ta
233,1,xài tạm được keo chưa chắc lắm bề_mặt dám cần thật nhẵn mới dính
234,1,con tôi không hứng_thú đọc và cũng không thực_hiện theo định_hướng trong sách
235,0,sản phâm không có khả_năng làm hết các vết xước
236,2,giao hàng nhanh mẫu_mã sản_phẩm đẹp và không bị trầy xướt lưu thôg tin
237,1,sài tạm ổn mà có_điều một hôp có vài cái qe thử bị hư
238,2,mặc ôm gọn_nhẹ nhàng
239,1,sách hay nói về nhiều khía_cạnh trong cuộc_sống qua lối văn hài_hước nhưng cá_nhân mình thích hài_hước kiểu tony buổi sáng hơn cuốn này nhiều chỗ hài_hước hơi vô_duyên
240,2,cũng ô_kê đấy mặc_dù chưa có hiệu_quả
241,0,máy_bơm hơi cùi quá mới mua chuẩn_bị bơi thì hỏng mất rồi phải lặn_lội đi mua cái đồ bơm hơi
242,2,sách hay đẹp giao hàng nhanh hơn dự_kiến
243,2,hài_lòng bìa đẹp gói cẩn_thận cảm_ơn tiki
244,0,đọc quyển này rất chán nội_dung toàn là lí_thuyết xuông có nhiều câu_chuyện rất giống đắc nhân_tâm nhưng không và sinh_động được
245,2,giao hàng nhanh sản_phẩm siêu xinh kèm sticker mini như mô_tả mua để tặng nên không có đánh_giá
246,2,sản_phẩm nhìn bên ngoài lẫn bên trong đều rất bắt_mắt gây hứng_thú để học nội_dung sách thì khỏi bàn luôn
247,1,mình cảm_thấy sách khó đọc từ_ngữ kiểu hơi xưa nên đọc khó hiểu mình sẽ trau_dồi tiếng pháp để đọc bản_gốc xem có_dễ nuốt hơn không chứ sách dịch đọc hơi lủng_củng sao
248,0,đây là đơn hàng tôi đặt và sản_phẩm tôi nhận được lần đầu_tiên đặt_hàng mà thực_sự không hài_lòng tí nào làm_ơn đổi hàng hộ tôi cái thực_sự rất cần sạc mà_lại làm_ăn như
249,2,lần đầu_tiên đặt_hàng ở tiki thấy gói hàng cận thận và giao khá là nhanh hy_vọng lần sau vẫn
250,0,chất_liệu rất mỏng và kích_thước rất
251,0,tiki giao hàng nhanh nhưng bìa sách dơ rõ_ràng gáy sách cũng rách lần đầu_tiên nhận cuốn sách cũ vậy luôn nhìn buồn ghê mong tiki kiểm_tra hàng kỹ hơn để đỡ ảnh_hưởng đến uy_tín
252,1,rung mạnh nhưng hơi ồn
253,0,không làm được gì cả mua về chỉ mất tiền thêm
254,0,dây mỏng cột không chắc nhanh giãn
255,0,mình mới mua mà đã trục_trặc rồi ngại chả buồn bảo_hành gì cả biết là đồ điện_tử hên xui nhưng_mà hỏng vẫn cảm_thấy rất là không thoải_mái và bất_tiện
256,0,giao hàng lâu hơn so với thông_báo lúc đặt_hàng thấy không hài_lòng về lần giao hàng này của tiki
257,0,tôi vừa gâm sạc thì lại nổ quá chán cho con hàng
258,2,cũng đã xài qua một cài_đặt khác của hãng này rồi nên bâyh thử dùng cài_đặt trà xanh này xem sao sản_phẩm đẹp và nhỏ gọn trông rất xinh giao hàng
259,0,mình không nói về nội_dung vì chưa đọc hết nhưng khi cầm cuốn sách trên tay thì thấy gáy sách tệ đóng không kỹ nên trang sách có_thể rơi ra không biết mình có_thể đổi cuốn khác được
260,1,sữa tắm thơm mịn da nhưng tiki giao hàng hơi chậm và đóng_gói không cẩn_thận để trào sữa tắm ra xung_quanh
261,0,thấy không hiểu quả không như mong_muốn
262,1,rất dễ_thương mặc_dù hơi
263,2,giao hàng nhanh đặt trưa thứ tư trưa thứ năm giao rồi máy
264,2,sản_phẩm đẹp giao hàng nhanh nói chung là ô_kê
265,1,hạn sử_dụng xem ở đâu
266,2,dễ sử_dụng mùi thơm vải mềm
267,1,dùng được nhưng tắm hàng ngày vẫn không thấy hiệu_quả lắm
268,1,giống sản_phẩm đã qua
269,1,nó không giống mình nghĩ lắm hơi nhỏ với nó cứ cứng cứng
270,0,đạp gây ra tiếng_động nhỏ rất khó_chịu
271,0,mình chưa sử_dụng sản_phẩm nên chưa đánh_giá được độ_chính_xác chỉ có phản_ánh về việc gói hàng hàng giao đến tay móp méo gói không cẩn_thận
272,0,hàng về kiểm_tra thấy lọ bị vón cục có một_số cục trắng lăn_tăn không mịn
273,2,sử_dụng thì chất_lượng tốt nhưng có_điều là mùi hơi quá “ gắt ”
274,0,áo bị rách bên vai do lần chỉ mai rách hơi ngắn
275,2,giao hàng nhanh sách được bọc kĩ cảm_ơn tiki rất
276,0,mình vừa nhận được áo rồi áo_khoác vải quá mỏng đường may xấu quá mình cần hỗ_trợ trả hàng
277,1,sách giấy mỏng chất_lượng trung_bình hđ
278,2,vị không đắng nên rất dễ uống
279,2,truyện phải nói là quá hay từ lúc đọc bản web là đã muốn đọc bản giấy thế_này rồi bưu_thiếp đẹp
280,2,sách vô_cùng tuyệt_vời vừa nhận được mình đã mở đọc thử và đã bị lôi_cuốn đọc cho con hay cho mình đều
281,2,cửa_hàng giao hàng nhanh gương đẹp chắc_chắn cầm_chắc tay dùng thích lắm mà giá_cả hợp_lí nữa nên mua nha mọi
282,1,màu hơi khô đóng gói cẩn_thận
283,2,đây là lần đầu_tiên mình đọc truyện của nguyễn_nhật ánh thật_sự rất chân_thực cuốn_hút mà_lại chứa_đựng rất nhiều thông_điệp ý_nghĩa cuốn này thật_sự rất
284,1,hơi mỏng nhưng dùng tạm được không như mong_đợi hàng sản_xuất in china
285,1,hộp hơi to nên sách đến tay mình hơi xấu nội_dung hay cháu mình rất
286,0,này thuộc kẹo chứ bánh gì không ngon xíu nào ngọt gắt cổ_họng luôn ăn xong muốn tắt cả tiếng mọi người cân_nhắc khi mua uổn tiền
287,1,dùng chưa được một tháng để_chế độ tự_động lúc đầu thấy ô_kê sau thấy kêu hơi to
288,0,không như quảng_cáo qúa bự
289,2,nhận hộp nguyên bao_bì bản mới nhất chưa active nên chưa biết có vấn_đề gì không nhưng thấy giá khuyễn mại tốt nhất trên thị_trường
290,2,sách này rất hay tiếng anh rất dễ đọc
291,0,cáp không tự ngắt khi đầy nửa_đêm cứ báo đầy liên_tục làm không ngủ
292,2,nhớ lúc trước truyện dày lắm mà ta sao giờ mỏng y_như quyển tập bình_thường hông biết có phải bản rút_gọn không bé ở nhà thì thích
293,1,dòng phổ_thông mà xử_lí chậm nên hơi bực
294,1,cái ổ_cứng mà đóng_gói quá tệ vỏ hộp ngoài thì to móp méo nhìn rất nguy_hiểm chưa kiểm_tra thử có ổn không
295,1,binh thuong hút mãi không hết khí
296,0,dao_cạo không được bắn
297,0,hàng chua gì đút dây
298,1,bản dây hơi nhỏ thích_hợp dùng khi mặc váy
299,2,đánh_giá copy ô_kê tuổi_đời mới cần theo_dõi
300,0,không có vòi xịt nên dùng rất hao
